iter,time,reward,steps,convergence,,,
251,0.2101,80,22,4.071937581,2.529130792,3.545204926,2.70301033
252,0.1773,93,9,3.550665485,2.504363741,4.233266292,2.515726461
253,0.1883,92,10,3.569723618,2.617422467,3.746620662,2.120545091
254,0.1206,93,9,3.177273139,3.012487558,3.611515248,1.831505257
255,0.1563,90,12,3.209520415,3.251622031,3.593603401,1.67050005
256,0.1888,93,9,3.19084784,3.369495281,3.633786029,2.070518911
257,0.1308,91,11,3.15514422,3.934693628,3.716280932,2.606856845
258,0.2082,90,12,2.762622218,3.385840344,3.868546067,3.104618672
259,0.1471,93,9,2.695415403,4.074008312,3.396715559,3.062366544
260,0.13,89,13,2.59894151,4.101489782,3.203495169,3.138079892
261,0.1263,93,9,2.206268824,4.434725535,3.052331769,3.195055916
262,0.13,89,13,2.214532309,4.596055286,2.31693723,3.264759571
263,0.1811,90,12,2.140218016,4.627435209,2.146174346,3.352464343
264,0.1055,92,10,2.090010315,4.374841257,2.707499025,3.374121269
265,0.1149,91,11,1.957114615,4.116623758,3.113899687,3.777190008
266,0.1552,92,10,1.296917944,3.632730628,3.753348534,3.204567229
267,0.1314,91,11,1.214597014,3.131199795,3.677910666,3.09544018
268,0.122,88,14,1.139533271,3.347797891,3.569443438,3.013746594
269,0.1143,91,11,1.213233866,3.246028641,3.499171808,2.93677282
270,0.1047,89,13,1.154400113,3.211348322,3.958206287,3.395367789
271,0.2063,91,11,1.202670371,2.99988756,4.38138778,3.366177798
272,0.1113,93,9,1.127256456,2.854839604,4.830831542,3.349881644
273,0.168,90,12,1.131701392,2.843928141,4.896564126,3.644148648
274,0.1555,90,12,1.133860835,2.767310432,4.949867021,3.510156629
275,0.2332,93,9,1.373541895,2.71741645,4.836624706,3.155016172
276,0.173,87,15,1.384370186,2.69382797,4.795324336,3.243112161
277,0.173,90,12,1.394115648,2.640781887,4.846198719,2.917651173
278,0.1417,93,9,1.570159172,2.247368624,4.873867349,2.424639596
279,0.2618,93,9,1.647855615,1.59035551,4.965628721,2.392966217
280,0.1954,93,9,2.017033386,1.630706829,4.588961597,2.608304702
281,0.1414,90,12,2.049359346,1.617173957,4.187793222,2.684137591
282,0.2213,88,14,2.490237337,1.567064491,3.765448672,2.73029389
